f	max_sigma_G1	max_sigma_G2	max_sigma_G1_G2
6.180000000000000000e+02	1.303655107963845012e+03	5.603364502968141009e-02	5.191265988224019168e+01
6.190000000000000000e+02	1.301217387496317542e+03	5.593514978027559065e-02	5.172629993389978864e+01
6.210000000000000000e+02	1.296366787859574060e+03	5.573919409932785035e-02	5.135655134455944903e+01
6.230000000000000000e+02	1.291549020932665144e+03	5.554460613662238339e-02	5.099069337458730189e+01
6.250000000000000000e+02	1.286763744077107049e+03	5.535137162112734044e-02	5.062866625449645852e+01
6.260000000000000000e+02	1.284383183654175809e+03	5.525525750061431596e-02	5.044908392913385597e+01
6.280000000000000000e+02	1.279646009846187781e+03	5.506402682979261165e-02	5.009272241306651807e+01
6.300000000000000000e+02	1.274940490133840740e+03	5.487411478692839906e-02	4.974006431485261004e+01
6.320000000000000000e+02	1.270266298153611615e+03	5.468550777877986130e-02	4.939106934602876464e+01
6.330000000000000000e+02	1.267940849292858275e+03	5.459168946580470611e-02	4.921792015305136658e+01
6.350000000000000000e+02	1.263313046709495211e+03	5.440501492870079142e-02	4.887431973947359864e+01
6.370000000000000000e+02	1.258715775310719209e+03	5.421961225073154700e-02	4.853425085216832713e+01
6.390000000000000000e+02	1.254148724033455437e+03	5.403546847655217589e-02	4.819766317796343458e+01
6.410000000000000000e+02	1.249611586018004118e+03	5.385257082616188434e-02	4.786452017824264971e+01
6.420000000000000000e+02	1.247354139725534424e+03	5.376158535082997680e-02	4.769922581211203294e+01
6.440000000000000000e+02	1.242861305282836383e+03	5.358053329992132352e-02	4.737115050153116869e+01
6.460000000000000000e+02	1.238397634907087649e+03	5.340069617071910302e-02	4.704640419388048400e+01
6.480000000000000000e+02	1.233962835917658367e+03	5.322206177403768224e-02	4.672493548977980282e+01
6.490000000000000000e+02	1.231756172799272690e+03	5.313319183580551830e-02	4.656542224899720850e+01
6.510000000000000000e+02	1.227364140628707446e+03	5.295633903802800246e-02	4.624879886915354632e+01
6.530000000000000000e+02	1.223000265060878519e+03	5.278065920499463992e-02	4.593534352506569007e+01
6.550000000000000000e+02	1.218664266781869628e+03	5.260614070464084135e-02	4.562502567209116222e+01
6.560000000000000000e+02	1.216506635348809823e+03	5.251931336119337879e-02	4.547103007303832811e+01
6.580000000000000000e+02	1.212211937318986429e+03	5.234651538438952340e-02	4.516532826476046836e+01
6.600000000000000000e+02	1.207944434250963241e+03	5.217485032529932398e-02	4.486266063932237103e+01
6.620000000000000000e+02	1.203703859442918429e+03	5.200430707748104897e-02	4.456298022190505748e+01
6.640000000000000000e+02	1.199489949662489153e+03	5.183487467918849317e-02	4.426625634701938594e+01
6.650000000000000000e+02	1.197392912833920491e+03	5.175057166206220582e-02	4.411899400266482729e+01
6.670000000000000000e+02	1.193218514492043369e+03	5.158278529559606751e-02	4.382662135364142131e+01
6.690000000000000000e+02	1.189070137921899004e+03	5.141608299209259048e-02	4.353711375013726581e+01
