f	min_s_G1	min_s_G2	min_s_G1G2
8.200000000000000000e+01	3.398777505217397410e-01	2.918695068590128707e-04	4.006190133692621021e+04
8.300000000000000000e+01	3.498836817010078648e-01	2.749846329369637810e-04	1.571977997870368563e+04
8.400000000000000000e+01	3.598812190214319418e-01	2.588825965629718115e-04	1.481697507017184216e+04
8.500000000000000000e+01	3.698696402727117971e-01	2.434906163166452762e-04	1.399051218801429786e+04
8.700000000000000000e+01	3.898165933263974536e-01	2.138660995088077711e-04	1.253040004612196390e+04
8.800000000000000000e+01	3.997740070018168668e-01	1.993664290038211573e-04	1.188168279318735949e+04
9.000000000000000000e+01	4.196543092922802032e-01	1.717667885116916588e-04	1.072219461797982149e+04
9.100000000000000000e+01	4.295763759814538174e-01	1.589483831785109852e-04	1.020436275473409114e+04
9.300000000000000000e+01	4.493825814166193533e-01	1.353260267571367742e-04	9.275641021398470912e+03
9.400000000000000000e+01	4.592661205345553443e-01	1.244473047381848508e-04	8.858445008960654377e+03
9.500000000000000000e+01	4.691362683820043400e-01	1.141415253445929317e-04	8.468955869122079093e+03
9.600000000000000000e+01	4.789927976088101946e-01	1.043800308802043995e-04	8.104738873813192185e+03
9.800000000000000000e+01	4.986642121907453595e-01	8.640669876855366601e-05	7.443676050578552349e+03
1.000000000000000000e+02	5.182790035033167930e-01	7.054925418525425718e-05	6.860527311536278830e+03
1.010000000000000000e+02	5.280648251848739649e-01	6.317656004233513170e-05	6.594366736226197645e+03
1.030000000000000000e+02	5.475927855235285246e-01	5.026892878927355954e-05	6.106553940728254020e+03
1.040000000000000000e+02	5.573347535077604054e-01	4.469744704971495076e-05	5.882719510806204198e+03
1.050000000000000000e+02	5.670619542144004210e-01	3.981530206662107618e-05	5.670978824891776640e+03
1.070000000000000000e+02	5.864718440776722774e-01	3.259493993266168504e-05	5.280422306487575042e+03
1.090000000000000000e+02	6.058221334919097201e-01	2.962119491963698670e-05	4.928877093843678267e+03
1.100000000000000000e+02	6.154748659101153541e-01	2.985433576205152301e-05	4.766127910919140049e+03
1.120000000000000000e+02	6.347354467565096137e-01	3.315461250637249333e-05	4.463913267407478997e+03
1.130000000000000000e+02	6.443432904453754162e-01	3.581271660903789263e-05	4.323472965796158860e+03
1.140000000000000000e+02	6.539361756678992998e-01	3.889261884546524193e-05	4.189557089829439064e+03
1.160000000000000000e+02	6.730771173866880730e-01	4.580094617854220878e-05	3.939735882721453436e+03
1.180000000000000000e+02	6.921584053558866856e-01	5.317578424872401120e-05	3.711608044441590209e+03
1.200000000000000000e+02	7.111802278331955662e-01	6.066603534230536764e-05	3.502732214711503275e+03
1.210000000000000000e+02	7.206689103631124249e-01	6.439461522797898833e-05	3.404843835949682671e+03
1.230000000000000000e+02	7.396019785960945558e-01	7.174718590808507165e-05	3.220984915010131772e+03
1.250000000000000000e+02	7.584762177476834788e-01	7.889354312814824180e-05	3.051622921935124850e+03
