Frequency [Hz]	d axis	q axis
 (9.950000000000000000e+01+0.000000000000000000e+00j)	 (8.107389478628556390e+02+2.707808776033591585e+02j)	 (4.507445658786998166e+01+1.441302024182717503e+02j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (8.072340507850227596e+02+2.649047593359350685e+02j)	 (4.626349800384836897e+01+1.483870112553964589e+02j)
 (1.015000000000000000e+02+0.000000000000000000e+00j)	 (7.963653715126988573e+02+2.483150329868544759e+02j)	 (5.007157398038611973e+01+1.611062651609067586e+02j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (7.850072370037497649e+02+2.332027608912264043e+02j)	 (5.425247882873476613e+01+1.737398635122299311e+02j)
 (1.035000000000000000e+02+0.000000000000000000e+00j)	 (7.811423790054473102e+02+2.285102328726999872e+02j)	 (5.573275804370194209e+01+1.779316769698064320e+02j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)	 (7.693532390721627507e+02+2.152849771260021328e+02j)	 (6.043875927433487050e+01+1.904363480681149667e+02j)
 (1.065000000000000000e+02+0.000000000000000000e+00j)	 (7.573687886898246688e+02+2.033889853021699992e+02j)	 (6.556008381417626651e+01+2.028265943060517884e+02j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)	 (7.533636360283177282e+02+1.996998694336888889e+02j)	 (6.736313625138694761e+01+2.069285197459543610e+02j)
 (1.085000000000000000e+02+0.000000000000000000e+00j)	 (7.412958572378461213e+02+1.894228378490878981e+02j)	 (7.306105213606224424e+01+2.191345874094002966e+02j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)	 (7.292609477350163161e+02+1.802532923671489584e+02j)	 (7.920830438710521548e+01+2.311736015591575608e+02j)
 (1.105000000000000000e+02+0.000000000000000000e+00j)	 (7.252587561104930955e+02+1.774349945317424044e+02j)	 (8.135849102366239549e+01+2.351451930391878591e+02j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)	 (7.133688450313507019e+02+1.696402071788535295e+02j)	 (8.812263691629719631e+01+2.469213180867280357e+02j)
 (1.135000000000000000e+02+0.000000000000000000e+00j)	 (7.016188139084619024e+02+1.628001098135688380e+02j)	 (9.535913256535936000e+01+2.584638381005182168e+02j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)	 (6.977417976945482678e+02+1.607136768876258373e+02j)	 (9.787738666502787055e+01+2.622530815004814713e+02j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)	 (6.824923871360452949e+02+1.532554407048816927e+02j)	 (1.084805825853195529e+02+2.770846595789554954e+02j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)	 (6.750406595970889612e+02+1.500446312887135889e+02j)	 (1.141042565680187408e+02+2.842858271695490657e+02j)
 (1.175000000000000000e+02+0.000000000000000000e+00j)	 (6.713551049886581268e+02+1.485596850938135276e+02j)	 (1.169921232076635818e+02+2.878290647740696500e+02j)
 (1.195000000000000000e+02+0.000000000000000000e+00j)	 (6.568980219305543642e+02+1.433444107992616239e+02j)	 (1.290694357629957381e+02+3.015612205980824001e+02j)
 (1.205000000000000000e+02+0.000000000000000000e+00j)	 (6.498546122762983259e+02+1.411440476529573687e+02j)	 (1.354107369769579918e+02+3.081492832861765123e+02j)
