f	lambda_1	lambda_2
 (8.050000000000000000e+01+0.000000000000000000e+00j)	 (-7.046235456079749659e-02+5.797621550744441743e-02j)	 (-6.912620272428257051e-01+4.848076947987374208e-01j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)	 (-7.322392147724104960e-02+5.982470783433785355e-02j)	 (-6.941681510336521477e-01+4.913502328248712803e-01j)
 (8.250000000000000000e+01+0.000000000000000000e+00j)	 (-8.148302244770766478e-02+6.551237128471176785e-02j)	 (-7.027240895435680201e-01+5.113682983294316475e-01j)
 (8.350000000000000000e+01+0.000000000000000000e+00j)	 (-8.696752872452453986e-02+6.942181383143053441e-02j)	 (-7.082882020893238595e-01+5.250182386581505600e-01j)
 (8.450000000000000000e+01+0.000000000000000000e+00j)	 (-9.245508511484720748e-02+7.343080937765114613e-02j)	 (-7.136514890339293871e-01+5.388805076534567418e-01j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)	 (-9.519653788828086327e-02+7.547480312079193898e-02j)	 (-7.162755283451247568e-01+5.458908278229448463e-01j)
 (8.650000000000000000e+01+0.000000000000000000e+00j)	 (-1.034066439892057376e-01+8.176619666893564231e-02j)	 (-7.239294385054759751e-01+5.672323710997251300e-01j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)	 (-1.116008368224273850e-01+8.828928074306036100e-02j)	 (-7.312353179618023002e-01+5.890789292309075442e-01j)
 (8.850000000000000000e+01+0.000000000000000000e+00j)	 (-1.143336359247167089e-01+9.052353699620749317e-02j)	 (-7.335754004701445785e-01+5.964381975408334924e-01j)
 (8.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.197957525186751360e-01+9.506003933374168602e-02j)	 (-7.381246712300983948e-01+6.113701921629792757e-01j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)	 (-1.279700395853896056e-01+1.020874521972286453e-01j)	 (-7.446324543221841674e-01+6.341317287328489538e-01j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)	 (-1.334131936570879806e-01+1.069008367812226412e-01j)	 (-7.487508514705222273e-01+6.496015046481429245e-01j)
 (9.250000000000000000e+01+0.000000000000000000e+00j)	 (-1.361303213218734154e-01+1.093530572361858244e-01j)	 (-7.507394238945578335e-01+6.574120851430987900e-01j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)	 (-1.442730505739647784e-01+1.168722125820267355e-01j)	 (-7.563968245399276258e-01+6.811629955057401098e-01j)
 (9.550000000000000000e+01+0.000000000000000000e+00j)	 (-1.523985594657293885e-01+1.246515074042252591e-01j)	 (-7.615936097579361075e-01+7.053634218596874783e-01j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)	 (-1.551115594529640096e-01+1.273036871570897288e-01j)	 (-7.631924300466199629e-01+7.135169339998252980e-01j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)	 (-1.605069684536660213e-01+1.326881610642911269e-01j)	 (-7.662895611496970405e-01+7.300236780585491747e-01j)
 (9.850000000000000000e+01+0.000000000000000000e+00j)	 (-1.685949175596886951e-01+1.410032220185222229e-01j)	 (-7.704637904649960234e-01+7.550819544884646017e-01j)
 (9.950000000000000000e+01+0.000000000000000000e+00j)	 (-1.739602853081215761e-01+1.466833536052241649e-01j)	 (-7.729751921944737481e-01+7.720595118790730682e-01j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)	 (-1.766379178620858248e-01+1.495654806931344116e-01j)	 (-7.741286009867537343e-01+7.806307186156028477e-01j)
 (1.015000000000000000e+02+0.000000000000000000e+00j)	 (-1.846509717125197070e-01+1.584071660088476052e-01j)	 (-7.772452099715527751e-01+8.065635745738137796e-01j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)	 (-1.926113856231141397e-01+1.675191216090917423e-01j)	 (-7.797999257124738071e-01+8.329081662121539109e-01j)
 (1.035000000000000000e+02+0.000000000000000000e+00j)	 (-1.952626005964926970e-01+1.706199334429178149e-01j)	 (-7.804987082953629418e-01+8.417538429689406243e-01j)
